id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,sale_price_effective_date,gtin,brand,mpn,item_group_id,gender,age_group,color,size,shipping,custom_label_0,custom_label_3,custom_label_4
PRODUCT_001,Bash,Bash shell shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/Bash.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_001,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_002,C,C programming language hexagon sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/C.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_002,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_003,C++,C++ programming language hexagon sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/cpp.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_003,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_004,C#,C# programming language sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/csharp.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_004,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_005,Curl,Curl shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/curl.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_005,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_006,Declare Variable Not Wars,Declare Variable Not War shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/DeclareVariableNotWars.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_006,,,,,TH::Standard:20.00 THB,Made in Singapore,Featured Products,6
PRODUCT_007,Django,Django framework shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/django.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_007,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_008,Docker (Square),Docker square sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/docker_sq.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_008,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_009,Docker (Shaped),Docker shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/docker.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_009,,,,,TH::Standard:20.00 THB,Made in Singapore,,
PRODUCT_010,Don\'t Drink and Root,Don\'t Drink and Root shaped sticker,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Decorative Stickers,Sticker > Shaped,https://mahasak.github.io/tshirt-demo/,https://mahasak.github.io/tshirt-demo/images/product/sticker/dontDrinkAndRoot.png,new,in stock,THB36.00,,,,BigBears,,PRODUCT_010,,,,,TH::Standard:20.00 THB,Made in Singapore,Featured Products,2
